"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"27.06.2020 04:15 - 27.06.2020 04:30","38924","38040"
"27.06.2020 04:30 - 27.06.2020 04:45","38801","38161"
"27.06.2020 04:45 - 27.06.2020 05:00","38958","37910"
"27.06.2020 05:00 - 27.06.2020 05:15","39079","37679"
"27.06.2020 05:15 - 27.06.2020 05:30","38575","37626"
"27.06.2020 05:30 - 27.06.2020 05:45","38482","37409"
"27.06.2020 05:45 - 27.06.2020 06:00","38607","37858"
"27.06.2020 06:00 - 27.06.2020 06:15","39389","38117"
"27.06.2020 06:15 - 27.06.2020 06:30","39867","38613"
"27.06.2020 06:30 - 27.06.2020 06:45","40350","38881"
"27.06.2020 06:45 - 27.06.2020 07:00","41033","39652"
"27.06.2020 07:00 - 27.06.2020 07:15","42154","40318"
"27.06.2020 07:15 - 27.06.2020 07:30","43008","41139"
"27.06.2020 07:30 - 27.06.2020 07:45","43834","42478"
"27.06.2020 07:45 - 27.06.2020 08:00","44685","43737"
"27.06.2020 08:00 - 27.06.2020 08:15","45857","45072"
"27.06.2020 08:15 - 27.06.2020 08:30","46792","45952"
"27.06.2020 08:30 - 27.06.2020 08:45","47489","46882"
"27.06.2020 08:45 - 27.06.2020 09:00","48540","48296"
"27.06.2020 09:00 - 27.06.2020 09:15","49202","48866"
"27.06.2020 09:15 - 27.06.2020 09:30","49791","49444"
"27.06.2020 09:30 - 27.06.2020 09:45","50610","49886"
"27.06.2020 09:45 - 27.06.2020 10:00","51029","50602"
"27.06.2020 10:00 - 27.06.2020 10:15","51605","51227"
"27.06.2020 10:15 - 27.06.2020 10:30","52138","51271"
"27.06.2020 10:30 - 27.06.2020 10:45","52496","51791"
"27.06.2020 10:45 - 27.06.2020 11:00","52695","52000"
"27.06.2020 11:00 - 27.06.2020 11:15","53195","52321"
"27.06.2020 11:15 - 27.06.2020 11:30","53578","52622"
"27.06.2020 11:30 - 27.06.2020 11:45","53684","52431"
"27.06.2020 11:45 - 27.06.2020 12:00","53780","52474"
"27.06.2020 12:00 - 27.06.2020 12:15","53303","52846"
"27.06.2020 12:15 - 27.06.2020 12:30","53079","53017"
"27.06.2020 12:30 - 27.06.2020 12:45","52750","52781"
"27.06.2020 12:45 - 27.06.2020 13:00","52725","52650"
"27.06.2020 13:00 - 27.06.2020 13:15","52114","52425"
"27.06.2020 13:15 - 27.06.2020 13:30","51889","51876"
"27.06.2020 13:30 - 27.06.2020 13:45","51570","51118"
"27.06.2020 13:45 - 27.06.2020 14:00","51011","50489"
"27.06.2020 14:00 - 27.06.2020 14:15","50537","50223"
"27.06.2020 14:15 - 27.06.2020 14:30","50188","49816"
"27.06.2020 14:30 - 27.06.2020 14:45","49972","49841"
"27.06.2020 14:45 - 27.06.2020 15:00","49842","49805"
"27.06.2020 15:00 - 27.06.2020 15:15","49595","49544"
"27.06.2020 15:15 - 27.06.2020 15:30","49181","49447"
"27.06.2020 15:30 - 27.06.2020 15:45","49041","49472"
"27.06.2020 15:45 - 27.06.2020 16:00","48905","49623"
"27.06.2020 16:00 - 27.06.2020 16:15","48925","50222"
"27.06.2020 16:15 - 27.06.2020 16:30","48855","49295"
"27.06.2020 16:30 - 27.06.2020 16:45","48877","49418"
"27.06.2020 16:45 - 27.06.2020 17:00","48683","49325"
"27.06.2020 17:00 - 27.06.2020 17:15","48898","49913"
"27.06.2020 17:15 - 27.06.2020 17:30","48900","49850"
"27.06.2020 17:30 - 27.06.2020 17:45","49165","49917"
"27.06.2020 17:45 - 27.06.2020 18:00","49420","49904"
"27.06.2020 18:00 - 27.06.2020 18:15","49669","49556"
"27.06.2020 18:15 - 27.06.2020 18:30","49452","49309"
"27.06.2020 18:30 - 27.06.2020 18:45","49336","49498"
"27.06.2020 18:45 - 27.06.2020 19:00","49108","49317"
"27.06.2020 19:00 - 27.06.2020 19:15","48944","49372"
"27.06.2020 19:15 - 27.06.2020 19:30","48512","49196"
"27.06.2020 19:30 - 27.06.2020 19:45","48167","48930"
"27.06.2020 19:45 - 27.06.2020 20:00","47953","48484"
"27.06.2020 20:00 - 27.06.2020 20:15","47191","47791"
"27.06.2020 20:15 - 27.06.2020 20:30","46429","47259"
"27.06.2020 20:30 - 27.06.2020 20:45","45761","46610"
"27.06.2020 20:45 - 27.06.2020 21:00","45316","46011"
"27.06.2020 21:00 - 27.06.2020 21:15","43804","45392"
"27.06.2020 21:15 - 27.06.2020 21:30","44772","45069"
"27.06.2020 21:30 - 27.06.2020 21:45","44387","44829"
"27.06.2020 21:45 - 27.06.2020 22:00","44447","44662"
"27.06.2020 22:00 - 27.06.2020 22:15","44635","44755"
"27.06.2020 22:15 - 27.06.2020 22:30","43893","44604"
"27.06.2020 22:30 - 27.06.2020 22:45","43387","44197"
"27.06.2020 22:45 - 27.06.2020 23:00","42718","43645"
"27.06.2020 23:00 - 27.06.2020 23:15","42062","42866"
"27.06.2020 23:15 - 27.06.2020 23:30","41293","42257"
"27.06.2020 23:30 - 27.06.2020 23:45","40665","41468"
"27.06.2020 23:45 - 28.06.2020 00:00","40256","40944"
"28.06.2020 00:00 - 28.06.2020 00:15","38664","40705"
"28.06.2020 00:15 - 28.06.2020 00:30","38245","40145"
"28.06.2020 00:30 - 28.06.2020 00:45","37596","39738"
"28.06.2020 00:45 - 28.06.2020 01:00","37325","39204"
"28.06.2020 01:00 - 28.06.2020 01:15","36449","38152"
"28.06.2020 01:15 - 28.06.2020 01:30","36347","37796"
"28.06.2020 01:30 - 28.06.2020 01:45","35852","37226"
"28.06.2020 01:45 - 28.06.2020 02:00","35354","36798"
"28.06.2020 02:00 - 28.06.2020 02:15","35130","36004"
"28.06.2020 02:15 - 28.06.2020 02:30","35087","35847"
"28.06.2020 02:30 - 28.06.2020 02:45","34848","35629"
"28.06.2020 02:45 - 28.06.2020 03:00","34601","35383"
"28.06.2020 03:00 - 28.06.2020 03:15","34472","35264"
"28.06.2020 03:15 - 28.06.2020 03:30","34403","35387"
"28.06.2020 03:30 - 28.06.2020 03:45","34182","35400"
"28.06.2020 03:45 - 28.06.2020 04:00","34052","35217"
"28.06.2020 04:00 - 28.06.2020 04:15","34069","35512"
"28.06.2020 04:15 - 28.06.2020 04:30","34143","35209"
"28.06.2020 04:30 - 28.06.2020 04:45","34125","35049"
"28.06.2020 04:45 - 28.06.2020 05:00","34246","34908"
"28.06.2020 05:00 - 28.06.2020 05:15","34356","34761"
"28.06.2020 05:15 - 28.06.2020 05:30","33924","34490"
"28.06.2020 05:30 - 28.06.2020 05:45","33715","34512"
"28.06.2020 05:45 - 28.06.2020 06:00","33748","34845"
"28.06.2020 06:00 - 28.06.2020 06:15","34007","34919"
"28.06.2020 06:15 - 28.06.2020 06:30","34100","35502"
"28.06.2020 06:30 - 28.06.2020 06:45","34347","35825"
"28.06.2020 06:45 - 28.06.2020 07:00","34831","36315"
"28.06.2020 07:00 - 28.06.2020 07:15","35470","36993"
"28.06.2020 07:15 - 28.06.2020 07:30","36052","37505"
"28.06.2020 07:30 - 28.06.2020 07:45","36861","38298"
"28.06.2020 07:45 - 28.06.2020 08:00","37679","38979"
"28.06.2020 08:00 - 28.06.2020 08:15","38677","40033"
"28.06.2020 08:15 - 28.06.2020 08:30","39655","41042"
"28.06.2020 08:30 - 28.06.2020 08:45","40315","41578"
"28.06.2020 08:45 - 28.06.2020 09:00","41512","42356"
"28.06.2020 09:00 - 28.06.2020 09:15","42275","43382"
"28.06.2020 09:15 - 28.06.2020 09:30","43124","44105"
"28.06.2020 09:30 - 28.06.2020 09:45","43991","44796"
"28.06.2020 09:45 - 28.06.2020 10:00","44731","45765"
"28.06.2020 10:00 - 28.06.2020 10:15","45350","46199"
"28.06.2020 10:15 - 28.06.2020 10:30","46241","46747"
"28.06.2020 10:30 - 28.06.2020 10:45","46919","47356"
"28.06.2020 10:45 - 28.06.2020 11:00","47462","48062"
"28.06.2020 11:00 - 28.06.2020 11:15","48312","48348"
"28.06.2020 11:15 - 28.06.2020 11:30","49054","49060"
"28.06.2020 11:30 - 28.06.2020 11:45","49434","49370"
"28.06.2020 11:45 - 28.06.2020 12:00","49640","49746"
"28.06.2020 12:00 - 28.06.2020 12:15","49443","49532"
"28.06.2020 12:15 - 28.06.2020 12:30","49258","49166"
"28.06.2020 12:30 - 28.06.2020 12:45","48775","49303"
"28.06.2020 12:45 - 28.06.2020 13:00","48537","48258"
"28.06.2020 13:00 - 28.06.2020 13:15","47917","47803"
"28.06.2020 13:15 - 28.06.2020 13:30","47601","47283"
"28.06.2020 13:30 - 28.06.2020 13:45","47355","46719"
"28.06.2020 13:45 - 28.06.2020 14:00","46752","46940"
"28.06.2020 14:00 - 28.06.2020 14:15","46313","47289"
"28.06.2020 14:15 - 28.06.2020 14:30","46093","46739"
"28.06.2020 14:30 - 28.06.2020 14:45","45802","46347"
"28.06.2020 14:45 - 28.06.2020 15:00","45886","45806"
"28.06.2020 15:00 - 28.06.2020 15:15","45792","45704"
"28.06.2020 15:15 - 28.06.2020 15:30","45435","45753"
"28.06.2020 15:30 - 28.06.2020 15:45","45217","45697"
"28.06.2020 15:45 - 28.06.2020 16:00","45148","45875"
"28.06.2020 16:00 - 28.06.2020 16:15","45181","45576"
"28.06.2020 16:15 - 28.06.2020 16:30","45175","44912"
"28.06.2020 16:30 - 28.06.2020 16:45","45229","45465"
"28.06.2020 16:45 - 28.06.2020 17:00","45249","45368"
"28.06.2020 17:00 - 28.06.2020 17:15","45652","45328"
"28.06.2020 17:15 - 28.06.2020 17:30","45839","45544"
"28.06.2020 17:30 - 28.06.2020 17:45","46184","45914"
"28.06.2020 17:45 - 28.06.2020 18:00","46410","45450"
"28.06.2020 18:00 - 28.06.2020 18:15","46999","46643"
"28.06.2020 18:15 - 28.06.2020 18:30","47060","46944"
"28.06.2020 18:30 - 28.06.2020 18:45","46782","46938"
"28.06.2020 18:45 - 28.06.2020 19:00","46482","46861"
"28.06.2020 19:00 - 28.06.2020 19:15","46745","46272"
"28.06.2020 19:15 - 28.06.2020 19:30","46431","45848"
"28.06.2020 19:30 - 28.06.2020 19:45","46310","45469"
"28.06.2020 19:45 - 28.06.2020 20:00","46238","45461"
"28.06.2020 20:00 - 28.06.2020 20:15","46099","45481"
"28.06.2020 20:15 - 28.06.2020 20:30","45479","44784"
"28.06.2020 20:30 - 28.06.2020 20:45","45319","44457"
"28.06.2020 20:45 - 28.06.2020 21:00","44631","44415"
"28.06.2020 21:00 - 28.06.2020 21:15","43186","44429"
"28.06.2020 21:15 - 28.06.2020 21:30","44398","44170"
"28.06.2020 21:30 - 28.06.2020 21:45","44148","44011"
"28.06.2020 21:45 - 28.06.2020 22:00","44650","44290"
"28.06.2020 22:00 - 28.06.2020 22:15","44861","45530"
"28.06.2020 22:15 - 28.06.2020 22:30","44375","45406"
"28.06.2020 22:30 - 28.06.2020 22:45","43904","44712"
"28.06.2020 22:45 - 28.06.2020 23:00","43243","44007"
"28.06.2020 23:00 - 28.06.2020 23:15","42402","42999"
"28.06.2020 23:15 - 28.06.2020 23:30","41620","42275"
"28.06.2020 23:30 - 28.06.2020 23:45","40971","41567"
"28.06.2020 23:45 - 29.06.2020 00:00","40646","41047"
"29.06.2020 00:00 - 29.06.2020 00:15","39181","39929"
"29.06.2020 00:15 - 29.06.2020 00:30","38671","39614"
"29.06.2020 00:30 - 29.06.2020 00:45","38279","39092"
"29.06.2020 00:45 - 29.06.2020 01:00","37937","38762"
"29.06.2020 01:00 - 29.06.2020 01:15","37337","38428"
"29.06.2020 01:15 - 29.06.2020 01:30","37127","38160"
"29.06.2020 01:30 - 29.06.2020 01:45","36878","38346"
"29.06.2020 01:45 - 29.06.2020 02:00","36303","38228"
"29.06.2020 02:00 - 29.06.2020 02:15","35979","37548"
"29.06.2020 02:15 - 29.06.2020 02:30","36032","37690"
"29.06.2020 02:30 - 29.06.2020 02:45","35876","37659"
"29.06.2020 02:45 - 29.06.2020 03:00","35824","37793"
"29.06.2020 03:00 - 29.06.2020 03:15","35905","37193"
"29.06.2020 03:15 - 29.06.2020 03:30","36102","36959"
"29.06.2020 03:30 - 29.06.2020 03:45","36116","37131"
"29.06.2020 03:45 - 29.06.2020 04:00","36300","37501"
"29.06.2020 04:00 - 29.06.2020 04:15","36744","37978"
"29.06.2020 04:15 - 29.06.2020 04:30","37315","38457"
"29.06.2020 04:30 - 29.06.2020 04:45","37657","38960"
"29.06.2020 04:45 - 29.06.2020 05:00","38566","39275"
"29.06.2020 05:00 - 29.06.2020 05:15","39699","40918"
"29.06.2020 05:15 - 29.06.2020 05:30","40148","41412"
"29.06.2020 05:30 - 29.06.2020 05:45","41274","42199"
"29.06.2020 05:45 - 29.06.2020 06:00","43016","44023"
"29.06.2020 06:00 - 29.06.2020 06:15","46281","46511"
"29.06.2020 06:15 - 29.06.2020 06:30","48304","48540"
"29.06.2020 06:30 - 29.06.2020 06:45","50000","50285"
"29.06.2020 06:45 - 29.06.2020 07:00","51722","51743"
"29.06.2020 07:00 - 29.06.2020 07:15","53792","53959"
"29.06.2020 07:15 - 29.06.2020 07:30","55241","55226"
"29.06.2020 07:30 - 29.06.2020 07:45","56207","56420"
"29.06.2020 07:45 - 29.06.2020 08:00","57115","57516"
"29.06.2020 08:00 - 29.06.2020 08:15","58532","58843"
"29.06.2020 08:15 - 29.06.2020 08:30","59244","59539"
"29.06.2020 08:30 - 29.06.2020 08:45","59514","60184"
"29.06.2020 08:45 - 29.06.2020 09:00","60344","60610"
"29.06.2020 09:00 - 29.06.2020 09:15","60075","60529"
"29.06.2020 09:15 - 29.06.2020 09:30","60446","61246"
"29.06.2020 09:30 - 29.06.2020 09:45","60982","61743"
"29.06.2020 09:45 - 29.06.2020 10:00","61251","62474"
"29.06.2020 10:00 - 29.06.2020 10:15","61623","62787"
"29.06.2020 10:15 - 29.06.2020 10:30","61868","62977"
"29.06.2020 10:30 - 29.06.2020 10:45","62148","63206"
"29.06.2020 10:45 - 29.06.2020 11:00","62649","63319"
"29.06.2020 11:00 - 29.06.2020 11:15","62981","63714"
"29.06.2020 11:15 - 29.06.2020 11:30","63190","64380"
"29.06.2020 11:30 - 29.06.2020 11:45","63193","64825"
"29.06.2020 11:45 - 29.06.2020 12:00","63414","64909"
"29.06.2020 12:00 - 29.06.2020 12:15","63163","64106"
"29.06.2020 12:15 - 29.06.2020 12:30","62870","64040"
"29.06.2020 12:30 - 29.06.2020 12:45","62780","63899"
"29.06.2020 12:45 - 29.06.2020 13:00","62879","64000"
"29.06.2020 13:00 - 29.06.2020 13:15","62443","63690"
"29.06.2020 13:15 - 29.06.2020 13:30","62316","63175"
"29.06.2020 13:30 - 29.06.2020 13:45","61995","62559"
"29.06.2020 13:45 - 29.06.2020 14:00","61604","62183"
"29.06.2020 14:00 - 29.06.2020 14:15","61169","62329"
"29.06.2020 14:15 - 29.06.2020 14:30","60951","62010"
"29.06.2020 14:30 - 29.06.2020 14:45","61047","62374"
"29.06.2020 14:45 - 29.06.2020 15:00","60726","62150"
"29.06.2020 15:00 - 29.06.2020 15:15","60631","62078"
"29.06.2020 15:15 - 29.06.2020 15:30","60141","61452"
"29.06.2020 15:30 - 29.06.2020 15:45","59838","60721"
"29.06.2020 15:45 - 29.06.2020 16:00","59325","60330"
"29.06.2020 16:00 - 29.06.2020 16:15","59096","60560"
"29.06.2020 16:15 - 29.06.2020 16:30","58826","59927"
"29.06.2020 16:30 - 29.06.2020 16:45","58296","60068"
"29.06.2020 16:45 - 29.06.2020 17:00","57836","60262"
"29.06.2020 17:00 - 29.06.2020 17:15","58250","60566"
"29.06.2020 17:15 - 29.06.2020 17:30","58144","60178"
"29.06.2020 17:30 - 29.06.2020 17:45","58261","59683"
"29.06.2020 17:45 - 29.06.2020 18:00","58342","60511"
"29.06.2020 18:00 - 29.06.2020 18:15","58135","59923"
"29.06.2020 18:15 - 29.06.2020 18:30","57988","59442"
"29.06.2020 18:30 - 29.06.2020 18:45","57839","59276"
"29.06.2020 18:45 - 29.06.2020 19:00","57752","59013"
"29.06.2020 19:00 - 29.06.2020 19:15","57516","58486"
"29.06.2020 19:15 - 29.06.2020 19:30","57122","57762"
"29.06.2020 19:30 - 29.06.2020 19:45","56889","57131"
"29.06.2020 19:45 - 29.06.2020 20:00","56756","57086"
"29.06.2020 20:00 - 29.06.2020 20:15","56074","56917"
"29.06.2020 20:15 - 29.06.2020 20:30","55135","56255"
"29.06.2020 20:30 - 29.06.2020 20:45","54631","55525"
"29.06.2020 20:45 - 29.06.2020 21:00","53829","54934"
"29.06.2020 21:00 - 29.06.2020 21:15","52073","53957"
"29.06.2020 21:15 - 29.06.2020 21:30","52781","53224"
"29.06.2020 21:30 - 29.06.2020 21:45","52003","52782"
"29.06.2020 21:45 - 29.06.2020 22:00","51783","52231"
"29.06.2020 22:00 - 29.06.2020 22:15","51456","52397"
"29.06.2020 22:15 - 29.06.2020 22:30","50525","51783"
"29.06.2020 22:30 - 29.06.2020 22:45","49598","50872"
"29.06.2020 22:45 - 29.06.2020 23:00","48494","49658"
"29.06.2020 23:00 - 29.06.2020 23:15","47288","48395"
"29.06.2020 23:15 - 29.06.2020 23:30","46326","47758"
"29.06.2020 23:30 - 29.06.2020 23:45","45530","46824"
"29.06.2020 23:45 - 30.06.2020 00:00","45077","46262"
"30.06.2020 00:00 - 30.06.2020 00:15","44421","45271"
"30.06.2020 00:15 - 30.06.2020 00:30","43925","44905"
"30.06.2020 00:30 - 30.06.2020 00:45","43328","44589"
"30.06.2020 00:45 - 30.06.2020 01:00","42905","43956"
"30.06.2020 01:00 - 30.06.2020 01:15","42351","43105"
"30.06.2020 01:15 - 30.06.2020 01:30","42170","42616"
"30.06.2020 01:30 - 30.06.2020 01:45","41895","42570"
"30.06.2020 01:45 - 30.06.2020 02:00","41583","42115"
"30.06.2020 02:00 - 30.06.2020 02:15","41043","41695"
"30.06.2020 02:15 - 30.06.2020 02:30","40928","41601"
"30.06.2020 02:30 - 30.06.2020 02:45","40793","41607"
"30.06.2020 02:45 - 30.06.2020 03:00","40851","41493"
"30.06.2020 03:00 - 30.06.2020 03:15","40752","41586"
"30.06.2020 03:15 - 30.06.2020 03:30","40882","41894"
"30.06.2020 03:30 - 30.06.2020 03:45","40894","41995"
"30.06.2020 03:45 - 30.06.2020 04:00","40932","42222"
"30.06.2020 04:00 - 30.06.2020 04:15","41174","42307"
"30.06.2020 04:15 - 30.06.2020 04:30","41575","42667"
"30.06.2020 04:30 - 30.06.2020 04:45","42034","42926"
"30.06.2020 04:45 - 30.06.2020 05:00","42476","42600"
"30.06.2020 05:00 - 30.06.2020 05:15","43491","44066"
"30.06.2020 05:15 - 30.06.2020 05:30","43891","44858"
"30.06.2020 05:30 - 30.06.2020 05:45","44746","45702"
"30.06.2020 05:45 - 30.06.2020 06:00","46214","47068"
"30.06.2020 06:00 - 30.06.2020 06:15","48914","50271"
"30.06.2020 06:15 - 30.06.2020 06:30","50854","51844"
"30.06.2020 06:30 - 30.06.2020 06:45","52361","53394"
"30.06.2020 06:45 - 30.06.2020 07:00","53977","55225"
"30.06.2020 07:00 - 30.06.2020 07:15","56389","57051"
"30.06.2020 07:15 - 30.06.2020 07:30","57229","58038"
"30.06.2020 07:30 - 30.06.2020 07:45","57889","59128"
"30.06.2020 07:45 - 30.06.2020 08:00","58990","60246"
"30.06.2020 08:00 - 30.06.2020 08:15","60215","61231"
"30.06.2020 08:15 - 30.06.2020 08:30","60847","62190"
"30.06.2020 08:30 - 30.06.2020 08:45","61270","63369"
"30.06.2020 08:45 - 30.06.2020 09:00","61995","63744"
"30.06.2020 09:00 - 30.06.2020 09:15","61934","63851"
"30.06.2020 09:15 - 30.06.2020 09:30","62201","64239"
"30.06.2020 09:30 - 30.06.2020 09:45","62931","64567"
"30.06.2020 09:45 - 30.06.2020 10:00","63335","64485"
"30.06.2020 10:00 - 30.06.2020 10:15","63532","64330"
"30.06.2020 10:15 - 30.06.2020 10:30","63640","63951"
"30.06.2020 10:30 - 30.06.2020 10:45","64023","64595"
"30.06.2020 10:45 - 30.06.2020 11:00","64637","65410"
"30.06.2020 11:00 - 30.06.2020 11:15","64571","66247"
"30.06.2020 11:15 - 30.06.2020 11:30","64846","66084"
"30.06.2020 11:30 - 30.06.2020 11:45","64924","66373"
"30.06.2020 11:45 - 30.06.2020 12:00","65045","66767"
"30.06.2020 12:00 - 30.06.2020 12:15","64668","66486"
"30.06.2020 12:15 - 30.06.2020 12:30","64349","65819"
"30.06.2020 12:30 - 30.06.2020 12:45","64413","65834"
"30.06.2020 12:45 - 30.06.2020 13:00","64297","65653"
"30.06.2020 13:00 - 30.06.2020 13:15","64157","65496"
"30.06.2020 13:15 - 30.06.2020 13:30","63931","65614"
"30.06.2020 13:30 - 30.06.2020 13:45","63606","64819"
"30.06.2020 13:45 - 30.06.2020 14:00","63217","64439"
"30.06.2020 14:00 - 30.06.2020 14:15","62814","63780"
"30.06.2020 14:15 - 30.06.2020 14:30","62709","63984"
"30.06.2020 14:30 - 30.06.2020 14:45","62478","63567"
"30.06.2020 14:45 - 30.06.2020 15:00","62304","63094"
"30.06.2020 15:00 - 30.06.2020 15:15","62026","62611"
"30.06.2020 15:15 - 30.06.2020 15:30","61528","62033"
"30.06.2020 15:30 - 30.06.2020 15:45","61265","61454"
"30.06.2020 15:45 - 30.06.2020 16:00","60769","61059"
"30.06.2020 16:00 - 30.06.2020 16:15","60497","60452"
"30.06.2020 16:15 - 30.06.2020 16:30","60398","59950"
"30.06.2020 16:30 - 30.06.2020 16:45","60012","60162"
"30.06.2020 16:45 - 30.06.2020 17:00","59739","60229"
"30.06.2020 17:00 - 30.06.2020 17:15","60046","59833"
"30.06.2020 17:15 - 30.06.2020 17:30","60006","60497"
"30.06.2020 17:30 - 30.06.2020 17:45","59972","60348"
"30.06.2020 17:45 - 30.06.2020 18:00","60078","60533"
"30.06.2020 18:00 - 30.06.2020 18:15","59872","60331"
"30.06.2020 18:15 - 30.06.2020 18:30","59636","60375"
"30.06.2020 18:30 - 30.06.2020 18:45","59504","59572"
"30.06.2020 18:45 - 30.06.2020 19:00","59325","59560"
"30.06.2020 19:00 - 30.06.2020 19:15","59232","59276"
"30.06.2020 19:15 - 30.06.2020 19:30","58689","58689"
"30.06.2020 19:30 - 30.06.2020 19:45","58282","57944"
"30.06.2020 19:45 - 30.06.2020 20:00","58051","57179"
"30.06.2020 20:00 - 30.06.2020 20:15","57162","56740"
"30.06.2020 20:15 - 30.06.2020 20:30","56290","55987"
"30.06.2020 20:30 - 30.06.2020 20:45","55453","55484"
"30.06.2020 20:45 - 30.06.2020 21:00","54437","54808"
"30.06.2020 21:00 - 30.06.2020 21:15","53023","54208"
"30.06.2020 21:15 - 30.06.2020 21:30","53782","53153"
"30.06.2020 21:30 - 30.06.2020 21:45","52918","52364"
"30.06.2020 21:45 - 30.06.2020 22:00","52641","51597"
"30.06.2020 22:00 - 30.06.2020 22:15","52542","51819"
"30.06.2020 22:15 - 30.06.2020 22:30","51585","50998"
"30.06.2020 22:30 - 30.06.2020 22:45","50489","50080"
"30.06.2020 22:45 - 30.06.2020 23:00","49433","49298"
"30.06.2020 23:00 - 30.06.2020 23:15","48199","48244"
"30.06.2020 23:15 - 30.06.2020 23:30","47179","47100"
"30.06.2020 23:30 - 30.06.2020 23:45","46318","46292"
"30.06.2020 23:45 - 01.07.2020 00:00","45568","45596"
"01.07.2020 00:00 - 01.07.2020 00:15","43923","45010"
"01.07.2020 00:15 - 01.07.2020 00:30","43277","44419"
"01.07.2020 00:30 - 01.07.2020 00:45","42811","43889"
"01.07.2020 00:45 - 01.07.2020 01:00","42497","43327"
"01.07.2020 01:00 - 01.07.2020 01:15","41758","42574"
"01.07.2020 01:15 - 01.07.2020 01:30","41524","42658"
"01.07.2020 01:30 - 01.07.2020 01:45","41223","42350"
"01.07.2020 01:45 - 01.07.2020 02:00","40704","42105"
"01.07.2020 02:00 - 01.07.2020 02:15","40382","41787"
"01.07.2020 02:15 - 01.07.2020 02:30","40227","41323"
"01.07.2020 02:30 - 01.07.2020 02:45","40198","41134"
"01.07.2020 02:45 - 01.07.2020 03:00","40137","41482"
"01.07.2020 03:00 - 01.07.2020 03:15","40103","41544"
"01.07.2020 03:15 - 01.07.2020 03:30","40239","41836"
"01.07.2020 03:30 - 01.07.2020 03:45","40279","42131"
"01.07.2020 03:45 - 01.07.2020 04:00","40319","42521"
"01.07.2020 04:00 - 01.07.2020 04:15","40780","42817"
"01.07.2020 04:15 - 01.07.2020 04:30","41269","43029"
"01.07.2020 04:30 - 01.07.2020 04:45","41642","43106"
"01.07.2020 04:45 - 01.07.2020 05:00","42297","43400"
"01.07.2020 05:00 - 01.07.2020 05:15","43214","44044"
"01.07.2020 05:15 - 01.07.2020 05:30","43635","44378"
"01.07.2020 05:30 - 01.07.2020 05:45","44453","45489"
"01.07.2020 05:45 - 01.07.2020 06:00","45855","46990"
"01.07.2020 06:00 - 01.07.2020 06:15","48650","49574"
"01.07.2020 06:15 - 01.07.2020 06:30","50770","51467"
"01.07.2020 06:30 - 01.07.2020 06:45","52155","52825"
"01.07.2020 06:45 - 01.07.2020 07:00","53713","54246"
"01.07.2020 07:00 - 01.07.2020 07:15","55591","56443"
"01.07.2020 07:15 - 01.07.2020 07:30","56798","57409"
"01.07.2020 07:30 - 01.07.2020 07:45","58088","58216"
"01.07.2020 07:45 - 01.07.2020 08:00","58529","59277"
"01.07.2020 08:00 - 01.07.2020 08:15","59738","60012"
"01.07.2020 08:15 - 01.07.2020 08:30","60349","60866"
"01.07.2020 08:30 - 01.07.2020 08:45","60448","61867"
"01.07.2020 08:45 - 01.07.2020 09:00","60926","62363"
"01.07.2020 09:00 - 01.07.2020 09:15","60672","63105"
"01.07.2020 09:15 - 01.07.2020 09:30","61135","63795"
"01.07.2020 09:30 - 01.07.2020 09:45","61866","64458"
"01.07.2020 09:45 - 01.07.2020 10:00","62517","65402"
"01.07.2020 10:00 - 01.07.2020 10:15","62637","65636"
"01.07.2020 10:15 - 01.07.2020 10:30","62940","66017"
"01.07.2020 10:30 - 01.07.2020 10:45","63491","66482"
"01.07.2020 10:45 - 01.07.2020 11:00","64090","66811"
"01.07.2020 11:00 - 01.07.2020 11:15","64451","67085"
"01.07.2020 11:15 - 01.07.2020 11:30","64810","67276"
"01.07.2020 11:30 - 01.07.2020 11:45","65193","67531"
"01.07.2020 11:45 - 01.07.2020 12:00","65372","67994"
"01.07.2020 12:00 - 01.07.2020 12:15","64930","67683"
"01.07.2020 12:15 - 01.07.2020 12:30","64724","67264"
"01.07.2020 12:30 - 01.07.2020 12:45","64548","66935"
"01.07.2020 12:45 - 01.07.2020 13:00","64520","66812"
"01.07.2020 13:00 - 01.07.2020 13:15","64119","66519"
"01.07.2020 13:15 - 01.07.2020 13:30","63739","65769"
"01.07.2020 13:30 - 01.07.2020 13:45","63282","65203"
"01.07.2020 13:45 - 01.07.2020 14:00","62626","64708"
"01.07.2020 14:00 - 01.07.2020 14:15","62256","64461"
"01.07.2020 14:15 - 01.07.2020 14:30","62473","64621"
"01.07.2020 14:30 - 01.07.2020 14:45","62272","64125"
"01.07.2020 14:45 - 01.07.2020 15:00","62061","63570"
"01.07.2020 15:00 - 01.07.2020 15:15","61766","63237"
"01.07.2020 15:15 - 01.07.2020 15:30","61410","63197"
"01.07.2020 15:30 - 01.07.2020 15:45","60843","62628"
"01.07.2020 15:45 - 01.07.2020 16:00","60289","62020"
"01.07.2020 16:00 - 01.07.2020 16:15","60102","61158"
"01.07.2020 16:15 - 01.07.2020 16:30","60021","61418"
"01.07.2020 16:30 - 01.07.2020 16:45","59652","61043"
"01.07.2020 16:45 - 01.07.2020 17:00","59375","61004"
